priority,score,business_name,niche,city,zone,normalized_phone,phone_status,whatsapp_verification_status,whatsapp_verified_at,whatsapp_verification_notes,whatsapp_url,message,demo_url,homepage_url,message_char_count,encoded_url_length,url_validation_status,status,last_contacted,follow_up_date,response_status,opened_at,follow_up_url,follow_up_message,notes
A+,16,Medical Glamour Polanco,Clínica estética,CDMX,Polanco,525527634703,valid_format_only,bypassed_by_user,,,https://wa.me/525527634703?text=Hola%2C%20Medical%20Glamour%20Polanco.%20Vi%20que%20su%20negocio%20tiene%20presencia%20en%20Google%20Maps%20y%20reputaci%C3%B3n%20local.%0A%0ASoy%20Ruben%2C%20de%20Nexo%20Local%20Studio.%20Hacemos%20p%C3%A1ginas%20web%20r%C3%A1pidas%20y%20profesionales%20para%20negocios%20locales%2C%20conectadas%20a%20WhatsApp%2C%20ubicaci%C3%B3n%20y%20formularios.%0A%0APuedes%20ver%20la%20p%C3%A1gina%20de%20Nexo%20Local%20Studio%20aqu%C3%AD%3A%0Ahttps%3A%2F%2Fnexo-local-studio-public.vercel.app%0A%0APrecios%20desde%20%242%2C500%20MXN.%0A%0ASi%20te%20interesa%2C%20puedo%20enviarte%20una%20propuesta%20breve.%20Si%20prefieres%20no%20recibir%20m%C3%A1s%20mensajes%2C%20dime%20baja.,"Hola, Medical Glamour Polanco. Vi que su negocio tiene presencia en Google Maps y reputación local.

Soy Ruben, de Nexo Local Studio. Hacemos páginas web rápidas y profesionales para negocios locales, conectadas a WhatsApp, ubicación y formularios.

Puedes ver la página de Nexo Local Studio aquí:
https://nexo-local-studio-public.vercel.app

Precios desde $2,500 MXN.

Si te interesa, puedo enviarte una propuesta breve. Si prefieres no recibir más mensajes, dime baja.",https://nexo-local-studio-public.vercel.app/demos/estetica,https://nexo-local-studio-public.vercel.app,470,701,url_valid,ready_to_review,,,,,,,Google Maps detail no mostró dominio oficial ni botón de sitio web; negocio con reputación alta en zona premium.
A+,16,Dra. Shirley De Brito,Dental,CDMX,Polanco,525514744809,valid_format_only,bypassed_by_user,,,https://wa.me/525514744809?text=Hola%2C%20Dra.%20Shirley%20De%20Brito.%20Vi%20que%20su%20negocio%20tiene%20presencia%20en%20Google%20Maps%20y%20reputaci%C3%B3n%20local.%0A%0ASoy%20Ruben%2C%20de%20Nexo%20Local%20Studio.%20Hacemos%20p%C3%A1ginas%20web%20r%C3%A1pidas%20y%20profesionales%20para%20negocios%20locales%2C%20conectadas%20a%20WhatsApp%2C%20ubicaci%C3%B3n%20y%20formularios.%0A%0APuedes%20ver%20la%20p%C3%A1gina%20de%20Nexo%20Local%20Studio%20aqu%C3%AD%3A%0Ahttps%3A%2F%2Fnexo-local-studio-public.vercel.app%0A%0APrecios%20desde%20%242%2C500%20MXN.%0A%0ASi%20te%20interesa%2C%20puedo%20enviarte%20una%20propuesta%20breve.%20Si%20prefieres%20no%20recibir%20m%C3%A1s%20mensajes%2C%20dime%20baja.,"Hola, Dra. Shirley De Brito. Vi que su negocio tiene presencia en Google Maps y reputación local.

Soy Ruben, de Nexo Local Studio. Hacemos páginas web rápidas y profesionales para negocios locales, conectadas a WhatsApp, ubicación y formularios.

Puedes ver la página de Nexo Local Studio aquí:
https://nexo-local-studio-public.vercel.app

Precios desde $2,500 MXN.

Si te interesa, puedo enviarte una propuesta breve. Si prefieres no recibir más mensajes, dime baja.",https://nexo-local-studio-public.vercel.app/demos/dental,https://nexo-local-studio-public.vercel.app,468,701,url_valid,ready_to_review,,,,,,,Google Maps detail no mostró dominio oficial; solo enlace tipo WhatsApp/directo como presencia digital.
A+,15,"Dentista Juriquilla, Querétaro",Dental,Querétaro,Juriquilla,525549438421,valid_format_only,bypassed_by_user,,,https://wa.me/525549438421?text=Hola%2C%20Dentista%20Juriquilla%2C%20Quer%C3%A9taro.%20Vi%20que%20su%20negocio%20tiene%20presencia%20en%20Google%20Maps%20y%20reputaci%C3%B3n%20local.%0A%0ASoy%20Ruben%2C%20de%20Nexo%20Local%20Studio.%20Hacemos%20p%C3%A1ginas%20web%20r%C3%A1pidas%20y%20profesionales%20para%20negocios%20locales%2C%20conectadas%20a%20WhatsApp%2C%20ubicaci%C3%B3n%20y%20formularios.%0A%0APuedes%20ver%20la%20p%C3%A1gina%20de%20Nexo%20Local%20Studio%20aqu%C3%AD%3A%0Ahttps%3A%2F%2Fnexo-local-studio-public.vercel.app%0A%0APrecios%20desde%20%242%2C500%20MXN.%0A%0ASi%20te%20interesa%2C%20puedo%20enviarte%20una%20propuesta%20breve.%20Si%20prefieres%20no%20recibir%20m%C3%A1s%20mensajes%2C%20dime%20baja.,"Hola, Dentista Juriquilla, Querétaro. Vi que su negocio tiene presencia en Google Maps y reputación local.

Soy Ruben, de Nexo Local Studio. Hacemos páginas web rápidas y profesionales para negocios locales, conectadas a WhatsApp, ubicación y formularios.

Puedes ver la página de Nexo Local Studio aquí:
https://nexo-local-studio-public.vercel.app

Precios desde $2,500 MXN.

Si te interesa, puedo enviarte una propuesta breve. Si prefieres no recibir más mensajes, dime baja.",https://nexo-local-studio-public.vercel.app/demos/dental,https://nexo-local-studio-public.vercel.app,477,715,url_valid,ready_to_review,,,,,,,Google Maps detail no mostró dominio oficial; perfil activo con teléfono y reseñas fuertes.
A+,15,Dentar Odontología Integral y Ortodoncia,Dental,Querétaro,Juriquilla,524461319916,valid_format_only,bypassed_by_user,,,https://wa.me/524461319916?text=Hola%2C%20Dentar%20Odontolog%C3%ADa%20Integral%20y%20Ortodoncia.%20Vi%20que%20su%20negocio%20tiene%20presencia%20en%20Google%20Maps%20y%20reputaci%C3%B3n%20local.%0A%0ASoy%20Ruben%2C%20de%20Nexo%20Local%20Studio.%20Hacemos%20p%C3%A1ginas%20web%20r%C3%A1pidas%20y%20profesionales%20para%20negocios%20locales%2C%20conectadas%20a%20WhatsApp%2C%20ubicaci%C3%B3n%20y%20formularios.%0A%0APuedes%20ver%20la%20p%C3%A1gina%20de%20Nexo%20Local%20Studio%20aqu%C3%AD%3A%0Ahttps%3A%2F%2Fnexo-local-studio-public.vercel.app%0A%0APrecios%20desde%20%242%2C500%20MXN.%0A%0ASi%20te%20interesa%2C%20puedo%20enviarte%20una%20propuesta%20breve.%20Si%20prefieres%20no%20recibir%20m%C3%A1s%20mensajes%2C%20dime%20baja.,"Hola, Dentar Odontología Integral y Ortodoncia. Vi que su negocio tiene presencia en Google Maps y reputación local.

Soy Ruben, de Nexo Local Studio. Hacemos páginas web rápidas y profesionales para negocios locales, conectadas a WhatsApp, ubicación y formularios.

Puedes ver la página de Nexo Local Studio aquí:
https://nexo-local-studio-public.vercel.app

Precios desde $2,500 MXN.

Si te interesa, puedo enviarte una propuesta breve. Si prefieres no recibir más mensajes, dime baja.",https://nexo-local-studio-public.vercel.app/demos/dental,https://nexo-local-studio-public.vercel.app,487,727,url_valid,ready_to_review,,,,,,,Google Maps detail no mostró dominio oficial; oportunidad para página clara de servicios y ubicación.
A+,14,Hospital Veterinario Narvarte,Veterinaria,CDMX,Narvarte,525555382388,valid_format_only,bypassed_by_user,,,https://wa.me/525555382388?text=Hola%2C%20Hospital%20Veterinario%20Narvarte.%20Vi%20que%20su%20negocio%20tiene%20presencia%20en%20Google%20Maps%20y%20reputaci%C3%B3n%20local.%0A%0ASoy%20Ruben%2C%20de%20Nexo%20Local%20Studio.%20Hacemos%20p%C3%A1ginas%20web%20r%C3%A1pidas%20y%20profesionales%20para%20negocios%20locales%2C%20conectadas%20a%20WhatsApp%2C%20ubicaci%C3%B3n%20y%20formularios.%0A%0APuedes%20ver%20la%20p%C3%A1gina%20de%20Nexo%20Local%20Studio%20aqu%C3%AD%3A%0Ahttps%3A%2F%2Fnexo-local-studio-public.vercel.app%0A%0APrecios%20desde%20%242%2C500%20MXN.%0A%0ASi%20te%20interesa%2C%20puedo%20enviarte%20una%20propuesta%20breve.%20Si%20prefieres%20no%20recibir%20m%C3%A1s%20mensajes%2C%20dime%20baja.,"Hola, Hospital Veterinario Narvarte. Vi que su negocio tiene presencia en Google Maps y reputación local.

Soy Ruben, de Nexo Local Studio. Hacemos páginas web rápidas y profesionales para negocios locales, conectadas a WhatsApp, ubicación y formularios.

Puedes ver la página de Nexo Local Studio aquí:
https://nexo-local-studio-public.vercel.app

Precios desde $2,500 MXN.

Si te interesa, puedo enviarte una propuesta breve. Si prefieres no recibir más mensajes, dime baja.",https://nexo-local-studio-public.vercel.app/demos/veterinaria,https://nexo-local-studio-public.vercel.app,476,707,url_valid,ready_to_review,,,,,,,Google Maps detail no mostró dominio oficial; muchas reseñas y teléfono público.
A+,14,Dream Pets,Veterinaria,CDMX,Narvarte,525561143300,valid_format_only,bypassed_by_user,,,https://wa.me/525561143300?text=Hola%2C%20Dream%20Pets.%20Vi%20que%20su%20negocio%20tiene%20presencia%20en%20Google%20Maps%20y%20reputaci%C3%B3n%20local.%0A%0ASoy%20Ruben%2C%20de%20Nexo%20Local%20Studio.%20Hacemos%20p%C3%A1ginas%20web%20r%C3%A1pidas%20y%20profesionales%20para%20negocios%20locales%2C%20conectadas%20a%20WhatsApp%2C%20ubicaci%C3%B3n%20y%20formularios.%0A%0APuedes%20ver%20la%20p%C3%A1gina%20de%20Nexo%20Local%20Studio%20aqu%C3%AD%3A%0Ahttps%3A%2F%2Fnexo-local-studio-public.vercel.app%0A%0APrecios%20desde%20%242%2C500%20MXN.%0A%0ASi%20te%20interesa%2C%20puedo%20enviarte%20una%20propuesta%20breve.%20Si%20prefieres%20no%20recibir%20m%C3%A1s%20mensajes%2C%20dime%20baja.,"Hola, Dream Pets. Vi que su negocio tiene presencia en Google Maps y reputación local.

Soy Ruben, de Nexo Local Studio. Hacemos páginas web rápidas y profesionales para negocios locales, conectadas a WhatsApp, ubicación y formularios.

Puedes ver la página de Nexo Local Studio aquí:
https://nexo-local-studio-public.vercel.app

Precios desde $2,500 MXN.

Si te interesa, puedo enviarte una propuesta breve. Si prefieres no recibir más mensajes, dime baja.",https://nexo-local-studio-public.vercel.app/demos/veterinaria,https://nexo-local-studio-public.vercel.app,457,686,url_valid,ready_to_review,,,,,,,Google Maps detail no mostró dominio oficial; negocio activo con reputación alta.
A+,14,Clínica Veterinaria Coyoacán,Veterinaria,CDMX,Coyoacán,525556883177,valid_format_only,bypassed_by_user,,,https://wa.me/525556883177?text=Hola%2C%20Cl%C3%ADnica%20Veterinaria%20Coyoac%C3%A1n.%20Vi%20que%20su%20negocio%20tiene%20presencia%20en%20Google%20Maps%20y%20reputaci%C3%B3n%20local.%0A%0ASoy%20Ruben%2C%20de%20Nexo%20Local%20Studio.%20Hacemos%20p%C3%A1ginas%20web%20r%C3%A1pidas%20y%20profesionales%20para%20negocios%20locales%2C%20conectadas%20a%20WhatsApp%2C%20ubicaci%C3%B3n%20y%20formularios.%0A%0APuedes%20ver%20la%20p%C3%A1gina%20de%20Nexo%20Local%20Studio%20aqu%C3%AD%3A%0Ahttps%3A%2F%2Fnexo-local-studio-public.vercel.app%0A%0APrecios%20desde%20%242%2C500%20MXN.%0A%0ASi%20te%20interesa%2C%20puedo%20enviarte%20una%20propuesta%20breve.%20Si%20prefieres%20no%20recibir%20m%C3%A1s%20mensajes%2C%20dime%20baja.,"Hola, Clínica Veterinaria Coyoacán. Vi que su negocio tiene presencia en Google Maps y reputación local.

Soy Ruben, de Nexo Local Studio. Hacemos páginas web rápidas y profesionales para negocios locales, conectadas a WhatsApp, ubicación y formularios.

Puedes ver la página de Nexo Local Studio aquí:
https://nexo-local-studio-public.vercel.app

Precios desde $2,500 MXN.

Si te interesa, puedo enviarte una propuesta breve. Si prefieres no recibir más mensajes, dime baja.",https://nexo-local-studio-public.vercel.app/demos/veterinaria,https://nexo-local-studio-public.vercel.app,475,716,url_valid,ready_to_review,,,,,,,Google Maps detail no mostró dominio oficial; fuerte presencia local sin sitio claro enlazado.
A+,14,Hospital Veterinario Providencia,Veterinaria,Guadalajara,Providencia,523336401037,valid_format_only,bypassed_by_user,,,https://wa.me/523336401037?text=Hola%2C%20Hospital%20Veterinario%20Providencia.%20Vi%20que%20su%20negocio%20tiene%20presencia%20en%20Google%20Maps%20y%20reputaci%C3%B3n%20local.%0A%0ASoy%20Ruben%2C%20de%20Nexo%20Local%20Studio.%20Hacemos%20p%C3%A1ginas%20web%20r%C3%A1pidas%20y%20profesionales%20para%20negocios%20locales%2C%20conectadas%20a%20WhatsApp%2C%20ubicaci%C3%B3n%20y%20formularios.%0A%0APuedes%20ver%20la%20p%C3%A1gina%20de%20Nexo%20Local%20Studio%20aqu%C3%AD%3A%0Ahttps%3A%2F%2Fnexo-local-studio-public.vercel.app%0A%0APrecios%20desde%20%242%2C500%20MXN.%0A%0ASi%20te%20interesa%2C%20puedo%20enviarte%20una%20propuesta%20breve.%20Si%20prefieres%20no%20recibir%20m%C3%A1s%20mensajes%2C%20dime%20baja.,"Hola, Hospital Veterinario Providencia. Vi que su negocio tiene presencia en Google Maps y reputación local.

Soy Ruben, de Nexo Local Studio. Hacemos páginas web rápidas y profesionales para negocios locales, conectadas a WhatsApp, ubicación y formularios.

Puedes ver la página de Nexo Local Studio aquí:
https://nexo-local-studio-public.vercel.app

Precios desde $2,500 MXN.

Si te interesa, puedo enviarte una propuesta breve. Si prefieres no recibir más mensajes, dime baja.",https://nexo-local-studio-public.vercel.app/demos/veterinaria,https://nexo-local-studio-public.vercel.app,479,710,url_valid,ready_to_review,,,,,,,Google Maps detail no mostró dominio oficial; reputación fuerte en zona comercial.
A+,14,Vetleaf Veterinaria y Estética,Veterinaria,Guadalajara,Providencia,523343559053,valid_format_only,bypassed_by_user,,,https://wa.me/523343559053?text=Hola%2C%20Vetleaf%20Veterinaria%20y%20Est%C3%A9tica.%20Vi%20que%20su%20negocio%20tiene%20presencia%20en%20Google%20Maps%20y%20reputaci%C3%B3n%20local.%0A%0ASoy%20Ruben%2C%20de%20Nexo%20Local%20Studio.%20Hacemos%20p%C3%A1ginas%20web%20r%C3%A1pidas%20y%20profesionales%20para%20negocios%20locales%2C%20conectadas%20a%20WhatsApp%2C%20ubicaci%C3%B3n%20y%20formularios.%0A%0APuedes%20ver%20la%20p%C3%A1gina%20de%20Nexo%20Local%20Studio%20aqu%C3%AD%3A%0Ahttps%3A%2F%2Fnexo-local-studio-public.vercel.app%0A%0APrecios%20desde%20%242%2C500%20MXN.%0A%0ASi%20te%20interesa%2C%20puedo%20enviarte%20una%20propuesta%20breve.%20Si%20prefieres%20no%20recibir%20m%C3%A1s%20mensajes%2C%20dime%20baja.,"Hola, Vetleaf Veterinaria y Estética. Vi que su negocio tiene presencia en Google Maps y reputación local.

Soy Ruben, de Nexo Local Studio. Hacemos páginas web rápidas y profesionales para negocios locales, conectadas a WhatsApp, ubicación y formularios.

Puedes ver la página de Nexo Local Studio aquí:
https://nexo-local-studio-public.vercel.app

Precios desde $2,500 MXN.

Si te interesa, puedo enviarte una propuesta breve. Si prefieres no recibir más mensajes, dime baja.",https://nexo-local-studio-public.vercel.app/demos/veterinaria,https://nexo-local-studio-public.vercel.app,477,715,url_valid,ready_to_review,,,,,,,Google Maps detail no mostró dominio oficial; combina veterinaria y estética con alto número de reseñas.
A+,14,Dr. Neguib Villavicencio Raful,Dental,Querétaro,Juriquilla,525566126068,valid_format_only,bypassed_by_user,,,https://wa.me/525566126068?text=Hola%2C%20Dr.%20Neguib%20Villavicencio%20Raful.%20Vi%20que%20su%20negocio%20tiene%20presencia%20en%20Google%20Maps%20y%20reputaci%C3%B3n%20local.%0A%0ASoy%20Ruben%2C%20de%20Nexo%20Local%20Studio.%20Hacemos%20p%C3%A1ginas%20web%20r%C3%A1pidas%20y%20profesionales%20para%20negocios%20locales%2C%20conectadas%20a%20WhatsApp%2C%20ubicaci%C3%B3n%20y%20formularios.%0A%0APuedes%20ver%20la%20p%C3%A1gina%20de%20Nexo%20Local%20Studio%20aqu%C3%AD%3A%0Ahttps%3A%2F%2Fnexo-local-studio-public.vercel.app%0A%0APrecios%20desde%20%242%2C500%20MXN.%0A%0ASi%20te%20interesa%2C%20puedo%20enviarte%20una%20propuesta%20breve.%20Si%20prefieres%20no%20recibir%20m%C3%A1s%20mensajes%2C%20dime%20baja.,"Hola, Dr. Neguib Villavicencio Raful. Vi que su negocio tiene presencia en Google Maps y reputación local.

Soy Ruben, de Nexo Local Studio. Hacemos páginas web rápidas y profesionales para negocios locales, conectadas a WhatsApp, ubicación y formularios.

Puedes ver la página de Nexo Local Studio aquí:
https://nexo-local-studio-public.vercel.app

Precios desde $2,500 MXN.

Si te interesa, puedo enviarte una propuesta breve. Si prefieres no recibir más mensajes, dime baja.",https://nexo-local-studio-public.vercel.app/demos/dental,https://nexo-local-studio-public.vercel.app,477,710,url_valid,ready_to_review,,,,,,,"Google Maps detail no mostró dominio oficial; se observó Instagram como presencia digital, sin sitio propio enlazado."
