priority,score,business_name,niche,city,zone,normalized_phone,phone_status,whatsapp_verification_status,whatsapp_verified_at,whatsapp_verification_notes,whatsapp_url,message,demo_url,homepage_url,message_char_count,encoded_url_length,url_validation_status,status,last_contacted,follow_up_date,response_status,opened_at,follow_up_url,follow_up_message,notes
A,15,Clinica Dental Muelitas,Dental,Ciudad de México,Bosques,525572342564,valid_format_only,not_verified,,,https://wa.me/525572342564?text=Hola%2C%20Clinica%20Dental%20Muelitas.%20Vi%20que%20su%20negocio%20tiene%20presencia%20en%20Google%20Maps%20y%20se%C3%B1ales%20de%20reputaci%C3%B3n%20local.%0A%0ASoy%20Ruben%2C%20de%20Nexo%20Local%20Studio.%20Hacemos%20p%C3%A1ginas%20web%20r%C3%A1pidas%20y%20profesionales%20para%20negocios%20locales%2C%20conectadas%20a%20WhatsApp%2C%20ubicaci%C3%B3n%20y%20formularios.%0A%0APuedes%20ver%20nuestro%20trabajo%20aqu%C3%AD%3A%0Ahttps%3A%2F%2Fnexo-local-studio-public.vercel.app%0A%0ATenemos%20precios%20de%20lanzamiento%20desde%20%242%2C500%20MXN.%0A%0ASi%20te%20interesa%2C%20puedo%20enviarte%20una%20propuesta%20breve.%20Si%20prefieres%20no%20recibir%20m%C3%A1s%20mensajes%2C%20dime%20baja.,"Hola, Clinica Dental Muelitas. Vi que su negocio tiene presencia en Google Maps y señales de reputación local.

Soy Ruben, de Nexo Local Studio. Hacemos páginas web rápidas y profesionales para negocios locales, conectadas a WhatsApp, ubicación y formularios.

Puedes ver nuestro trabajo aquí:
https://nexo-local-studio-public.vercel.app

Tenemos precios de lanzamiento desde $2,500 MXN.

Si te interesa, puedo enviarte una propuesta breve. Si prefieres no recibir más mensajes, dime baja.",,https://nexo-local-studio-public.vercel.app,489,722,url_valid,ready_to_review,,,,,,,Fuente pública: OpenStreetMap (https://www.openstreetmap.org/node/12528020995). Estado web: No website found in public source. Teléfono público; WhatsApp pendiente de verificación manual. Revisar visualmente el negocio antes de enviar si hay duda.
A,15,Clínica De Especialidades Dentales,Dental,Huixquilucan,Huixquilucan,525582841112,valid_format_only,not_verified,,,https://wa.me/525582841112?text=Hola%2C%20Cl%C3%ADnica%20De%20Especialidades%20Dentales.%20Vi%20que%20su%20negocio%20tiene%20presencia%20en%20Google%20Maps%20y%20se%C3%B1ales%20de%20reputaci%C3%B3n%20local.%0A%0ASoy%20Ruben%2C%20de%20Nexo%20Local%20Studio.%20Hacemos%20p%C3%A1ginas%20web%20r%C3%A1pidas%20y%20profesionales%20para%20negocios%20locales%2C%20conectadas%20a%20WhatsApp%2C%20ubicaci%C3%B3n%20y%20formularios.%0A%0APuedes%20ver%20nuestro%20trabajo%20aqu%C3%AD%3A%0Ahttps%3A%2F%2Fnexo-local-studio-public.vercel.app%0A%0ATenemos%20precios%20de%20lanzamiento%20desde%20%242%2C500%20MXN.%0A%0ASi%20te%20interesa%2C%20puedo%20enviarte%20una%20propuesta%20breve.%20Si%20prefieres%20no%20recibir%20m%C3%A1s%20mensajes%2C%20dime%20baja.,"Hola, Clínica De Especialidades Dentales. Vi que su negocio tiene presencia en Google Maps y señales de reputación local.

Soy Ruben, de Nexo Local Studio. Hacemos páginas web rápidas y profesionales para negocios locales, conectadas a WhatsApp, ubicación y formularios.

Puedes ver nuestro trabajo aquí:
https://nexo-local-studio-public.vercel.app

Tenemos precios de lanzamiento desde $2,500 MXN.

Si te interesa, puedo enviarte una propuesta breve. Si prefieres no recibir más mensajes, dime baja.",,https://nexo-local-studio-public.vercel.app,500,740,url_valid,ready_to_review,,,,,,,Fuente pública: OpenStreetMap (https://www.openstreetmap.org/node/12594393092). Estado web: No website found in public source. Teléfono público; WhatsApp pendiente de verificación manual. Revisar visualmente el negocio antes de enviar si hay duda.
A,15,"Consultorio ""Estudio dental""",Dental,Huixquilucan,Huixquilucan,525529087101,valid_format_only,not_verified,,,https://wa.me/525529087101?text=Hola%2C%20Consultorio%20%22Estudio%20dental%22.%20Vi%20que%20su%20negocio%20tiene%20presencia%20en%20Google%20Maps%20y%20se%C3%B1ales%20de%20reputaci%C3%B3n%20local.%0A%0ASoy%20Ruben%2C%20de%20Nexo%20Local%20Studio.%20Hacemos%20p%C3%A1ginas%20web%20r%C3%A1pidas%20y%20profesionales%20para%20negocios%20locales%2C%20conectadas%20a%20WhatsApp%2C%20ubicaci%C3%B3n%20y%20formularios.%0A%0APuedes%20ver%20nuestro%20trabajo%20aqu%C3%AD%3A%0Ahttps%3A%2F%2Fnexo-local-studio-public.vercel.app%0A%0ATenemos%20precios%20de%20lanzamiento%20desde%20%242%2C500%20MXN.%0A%0ASi%20te%20interesa%2C%20puedo%20enviarte%20una%20propuesta%20breve.%20Si%20prefieres%20no%20recibir%20m%C3%A1s%20mensajes%2C%20dime%20baja.,"Hola, Consultorio ""Estudio dental"". Vi que su negocio tiene presencia en Google Maps y señales de reputación local.

Soy Ruben, de Nexo Local Studio. Hacemos páginas web rápidas y profesionales para negocios locales, conectadas a WhatsApp, ubicación y formularios.

Puedes ver nuestro trabajo aquí:
https://nexo-local-studio-public.vercel.app

Tenemos precios de lanzamiento desde $2,500 MXN.

Si te interesa, puedo enviarte una propuesta breve. Si prefieres no recibir más mensajes, dime baja.",,https://nexo-local-studio-public.vercel.app,494,731,url_valid,ready_to_review,,,,,,,Fuente pública: OpenStreetMap (https://www.openstreetmap.org/node/12525661080). Estado web: No website found in public source. Teléfono público; WhatsApp pendiente de verificación manual. Revisar visualmente el negocio antes de enviar si hay duda.
A,15,Consultorio Dental Alfa Y Omega,Dental,Huixquilucan,Huixquilucan,525547863775,valid_format_only,not_verified,,,https://wa.me/525547863775?text=Hola%2C%20Consultorio%20Dental%20Alfa%20Y%20Omega.%20Vi%20que%20su%20negocio%20tiene%20presencia%20en%20Google%20Maps%20y%20se%C3%B1ales%20de%20reputaci%C3%B3n%20local.%0A%0ASoy%20Ruben%2C%20de%20Nexo%20Local%20Studio.%20Hacemos%20p%C3%A1ginas%20web%20r%C3%A1pidas%20y%20profesionales%20para%20negocios%20locales%2C%20conectadas%20a%20WhatsApp%2C%20ubicaci%C3%B3n%20y%20formularios.%0A%0APuedes%20ver%20nuestro%20trabajo%20aqu%C3%AD%3A%0Ahttps%3A%2F%2Fnexo-local-studio-public.vercel.app%0A%0ATenemos%20precios%20de%20lanzamiento%20desde%20%242%2C500%20MXN.%0A%0ASi%20te%20interesa%2C%20puedo%20enviarte%20una%20propuesta%20breve.%20Si%20prefieres%20no%20recibir%20m%C3%A1s%20mensajes%2C%20dime%20baja.,"Hola, Consultorio Dental Alfa Y Omega. Vi que su negocio tiene presencia en Google Maps y señales de reputación local.

Soy Ruben, de Nexo Local Studio. Hacemos páginas web rápidas y profesionales para negocios locales, conectadas a WhatsApp, ubicación y formularios.

Puedes ver nuestro trabajo aquí:
https://nexo-local-studio-public.vercel.app

Tenemos precios de lanzamiento desde $2,500 MXN.

Si te interesa, puedo enviarte una propuesta breve. Si prefieres no recibir más mensajes, dime baja.",,https://nexo-local-studio-public.vercel.app,497,734,url_valid,ready_to_review,,,,,,,Fuente pública: OpenStreetMap (https://www.openstreetmap.org/node/12512443693). Estado web: No website found in public source. Teléfono público; WhatsApp pendiente de verificación manual. Revisar visualmente el negocio antes de enviar si hay duda.
A,15,Consultorio Dental Cyty,Dental,Huixquilucan,Huixquilucan,525582840023,valid_format_only,not_verified,,,https://wa.me/525582840023?text=Hola%2C%20Consultorio%20Dental%20Cyty.%20Vi%20que%20su%20negocio%20tiene%20presencia%20en%20Google%20Maps%20y%20se%C3%B1ales%20de%20reputaci%C3%B3n%20local.%0A%0ASoy%20Ruben%2C%20de%20Nexo%20Local%20Studio.%20Hacemos%20p%C3%A1ginas%20web%20r%C3%A1pidas%20y%20profesionales%20para%20negocios%20locales%2C%20conectadas%20a%20WhatsApp%2C%20ubicaci%C3%B3n%20y%20formularios.%0A%0APuedes%20ver%20nuestro%20trabajo%20aqu%C3%AD%3A%0Ahttps%3A%2F%2Fnexo-local-studio-public.vercel.app%0A%0ATenemos%20precios%20de%20lanzamiento%20desde%20%242%2C500%20MXN.%0A%0ASi%20te%20interesa%2C%20puedo%20enviarte%20una%20propuesta%20breve.%20Si%20prefieres%20no%20recibir%20m%C3%A1s%20mensajes%2C%20dime%20baja.,"Hola, Consultorio Dental Cyty. Vi que su negocio tiene presencia en Google Maps y señales de reputación local.

Soy Ruben, de Nexo Local Studio. Hacemos páginas web rápidas y profesionales para negocios locales, conectadas a WhatsApp, ubicación y formularios.

Puedes ver nuestro trabajo aquí:
https://nexo-local-studio-public.vercel.app

Tenemos precios de lanzamiento desde $2,500 MXN.

Si te interesa, puedo enviarte una propuesta breve. Si prefieres no recibir más mensajes, dime baja.",,https://nexo-local-studio-public.vercel.app,489,722,url_valid,ready_to_review,,,,,,,Fuente pública: OpenStreetMap (https://www.openstreetmap.org/node/12512605307). Estado web: No website found in public source. Teléfono público; WhatsApp pendiente de verificación manual. Revisar visualmente el negocio antes de enviar si hay duda.
A,15,Consultorio Dental Garden,Dental,Huixquilucan,Huixquilucan,525580990629,valid_format_only,not_verified,,,https://wa.me/525580990629?text=Hola%2C%20Consultorio%20Dental%20Garden.%20Vi%20que%20su%20negocio%20tiene%20presencia%20en%20Google%20Maps%20y%20se%C3%B1ales%20de%20reputaci%C3%B3n%20local.%0A%0ASoy%20Ruben%2C%20de%20Nexo%20Local%20Studio.%20Hacemos%20p%C3%A1ginas%20web%20r%C3%A1pidas%20y%20profesionales%20para%20negocios%20locales%2C%20conectadas%20a%20WhatsApp%2C%20ubicaci%C3%B3n%20y%20formularios.%0A%0APuedes%20ver%20nuestro%20trabajo%20aqu%C3%AD%3A%0Ahttps%3A%2F%2Fnexo-local-studio-public.vercel.app%0A%0ATenemos%20precios%20de%20lanzamiento%20desde%20%242%2C500%20MXN.%0A%0ASi%20te%20interesa%2C%20puedo%20enviarte%20una%20propuesta%20breve.%20Si%20prefieres%20no%20recibir%20m%C3%A1s%20mensajes%2C%20dime%20baja.,"Hola, Consultorio Dental Garden. Vi que su negocio tiene presencia en Google Maps y señales de reputación local.

Soy Ruben, de Nexo Local Studio. Hacemos páginas web rápidas y profesionales para negocios locales, conectadas a WhatsApp, ubicación y formularios.

Puedes ver nuestro trabajo aquí:
https://nexo-local-studio-public.vercel.app

Tenemos precios de lanzamiento desde $2,500 MXN.

Si te interesa, puedo enviarte una propuesta breve. Si prefieres no recibir más mensajes, dime baja.",,https://nexo-local-studio-public.vercel.app,491,724,url_valid,ready_to_review,,,,,,,Fuente pública: OpenStreetMap (https://www.openstreetmap.org/node/12527937391). Estado web: No website found in public source. Teléfono público; WhatsApp pendiente de verificación manual. Revisar visualmente el negocio antes de enviar si hay duda.
A,15,Consultorio Dental Integral,Dental,Huixquilucan,Huixquilucan,525522704039,valid_format_only,not_verified,,,https://wa.me/525522704039?text=Hola%2C%20Consultorio%20Dental%20Integral.%20Vi%20que%20su%20negocio%20tiene%20presencia%20en%20Google%20Maps%20y%20se%C3%B1ales%20de%20reputaci%C3%B3n%20local.%0A%0ASoy%20Ruben%2C%20de%20Nexo%20Local%20Studio.%20Hacemos%20p%C3%A1ginas%20web%20r%C3%A1pidas%20y%20profesionales%20para%20negocios%20locales%2C%20conectadas%20a%20WhatsApp%2C%20ubicaci%C3%B3n%20y%20formularios.%0A%0APuedes%20ver%20nuestro%20trabajo%20aqu%C3%AD%3A%0Ahttps%3A%2F%2Fnexo-local-studio-public.vercel.app%0A%0ATenemos%20precios%20de%20lanzamiento%20desde%20%242%2C500%20MXN.%0A%0ASi%20te%20interesa%2C%20puedo%20enviarte%20una%20propuesta%20breve.%20Si%20prefieres%20no%20recibir%20m%C3%A1s%20mensajes%2C%20dime%20baja.,"Hola, Consultorio Dental Integral. Vi que su negocio tiene presencia en Google Maps y señales de reputación local.

Soy Ruben, de Nexo Local Studio. Hacemos páginas web rápidas y profesionales para negocios locales, conectadas a WhatsApp, ubicación y formularios.

Puedes ver nuestro trabajo aquí:
https://nexo-local-studio-public.vercel.app

Tenemos precios de lanzamiento desde $2,500 MXN.

Si te interesa, puedo enviarte una propuesta breve. Si prefieres no recibir más mensajes, dime baja.",,https://nexo-local-studio-public.vercel.app,493,726,url_valid,ready_to_review,,,,,,,Fuente pública: OpenStreetMap (https://www.openstreetmap.org/node/12542978616). Estado web: No website found in public source. Teléfono público; WhatsApp pendiente de verificación manual. Revisar visualmente el negocio antes de enviar si hay duda.
A,15,Consultorio Dental Jacarandas,Dental,Huixquilucan,Huixquilucan,525539440639,valid_format_only,not_verified,,,https://wa.me/525539440639?text=Hola%2C%20Consultorio%20Dental%20Jacarandas.%20Vi%20que%20su%20negocio%20tiene%20presencia%20en%20Google%20Maps%20y%20se%C3%B1ales%20de%20reputaci%C3%B3n%20local.%0A%0ASoy%20Ruben%2C%20de%20Nexo%20Local%20Studio.%20Hacemos%20p%C3%A1ginas%20web%20r%C3%A1pidas%20y%20profesionales%20para%20negocios%20locales%2C%20conectadas%20a%20WhatsApp%2C%20ubicaci%C3%B3n%20y%20formularios.%0A%0APuedes%20ver%20nuestro%20trabajo%20aqu%C3%AD%3A%0Ahttps%3A%2F%2Fnexo-local-studio-public.vercel.app%0A%0ATenemos%20precios%20de%20lanzamiento%20desde%20%242%2C500%20MXN.%0A%0ASi%20te%20interesa%2C%20puedo%20enviarte%20una%20propuesta%20breve.%20Si%20prefieres%20no%20recibir%20m%C3%A1s%20mensajes%2C%20dime%20baja.,"Hola, Consultorio Dental Jacarandas. Vi que su negocio tiene presencia en Google Maps y señales de reputación local.

Soy Ruben, de Nexo Local Studio. Hacemos páginas web rápidas y profesionales para negocios locales, conectadas a WhatsApp, ubicación y formularios.

Puedes ver nuestro trabajo aquí:
https://nexo-local-studio-public.vercel.app

Tenemos precios de lanzamiento desde $2,500 MXN.

Si te interesa, puedo enviarte una propuesta breve. Si prefieres no recibir más mensajes, dime baja.",,https://nexo-local-studio-public.vercel.app,495,728,url_valid,ready_to_review,,,,,,,Fuente pública: OpenStreetMap (https://www.openstreetmap.org/node/12626575254). Estado web: No website found in public source. Teléfono público; WhatsApp pendiente de verificación manual. Revisar visualmente el negocio antes de enviar si hay duda.
A,15,Consultorio Dental Kenco,Dental,Huixquilucan,Huixquilucan,525548072331,valid_format_only,not_verified,,,https://wa.me/525548072331?text=Hola%2C%20Consultorio%20Dental%20Kenco.%20Vi%20que%20su%20negocio%20tiene%20presencia%20en%20Google%20Maps%20y%20se%C3%B1ales%20de%20reputaci%C3%B3n%20local.%0A%0ASoy%20Ruben%2C%20de%20Nexo%20Local%20Studio.%20Hacemos%20p%C3%A1ginas%20web%20r%C3%A1pidas%20y%20profesionales%20para%20negocios%20locales%2C%20conectadas%20a%20WhatsApp%2C%20ubicaci%C3%B3n%20y%20formularios.%0A%0APuedes%20ver%20nuestro%20trabajo%20aqu%C3%AD%3A%0Ahttps%3A%2F%2Fnexo-local-studio-public.vercel.app%0A%0ATenemos%20precios%20de%20lanzamiento%20desde%20%242%2C500%20MXN.%0A%0ASi%20te%20interesa%2C%20puedo%20enviarte%20una%20propuesta%20breve.%20Si%20prefieres%20no%20recibir%20m%C3%A1s%20mensajes%2C%20dime%20baja.,"Hola, Consultorio Dental Kenco. Vi que su negocio tiene presencia en Google Maps y señales de reputación local.

Soy Ruben, de Nexo Local Studio. Hacemos páginas web rápidas y profesionales para negocios locales, conectadas a WhatsApp, ubicación y formularios.

Puedes ver nuestro trabajo aquí:
https://nexo-local-studio-public.vercel.app

Tenemos precios de lanzamiento desde $2,500 MXN.

Si te interesa, puedo enviarte una propuesta breve. Si prefieres no recibir más mensajes, dime baja.",,https://nexo-local-studio-public.vercel.app,490,723,url_valid,ready_to_review,,,,,,,Fuente pública: OpenStreetMap (https://www.openstreetmap.org/node/12530589158). Estado web: No website found in public source. Teléfono público; WhatsApp pendiente de verificación manual. Revisar visualmente el negocio antes de enviar si hay duda.
A,15,Consultorio Dental Tu Sonrisa,Dental,Huixquilucan,Huixquilucan,525591030575,valid_format_only,not_verified,,,https://wa.me/525591030575?text=Hola%2C%20Consultorio%20Dental%20Tu%20Sonrisa.%20Vi%20que%20su%20negocio%20tiene%20presencia%20en%20Google%20Maps%20y%20se%C3%B1ales%20de%20reputaci%C3%B3n%20local.%0A%0ASoy%20Ruben%2C%20de%20Nexo%20Local%20Studio.%20Hacemos%20p%C3%A1ginas%20web%20r%C3%A1pidas%20y%20profesionales%20para%20negocios%20locales%2C%20conectadas%20a%20WhatsApp%2C%20ubicaci%C3%B3n%20y%20formularios.%0A%0APuedes%20ver%20nuestro%20trabajo%20aqu%C3%AD%3A%0Ahttps%3A%2F%2Fnexo-local-studio-public.vercel.app%0A%0ATenemos%20precios%20de%20lanzamiento%20desde%20%242%2C500%20MXN.%0A%0ASi%20te%20interesa%2C%20puedo%20enviarte%20una%20propuesta%20breve.%20Si%20prefieres%20no%20recibir%20m%C3%A1s%20mensajes%2C%20dime%20baja.,"Hola, Consultorio Dental Tu Sonrisa. Vi que su negocio tiene presencia en Google Maps y señales de reputación local.

Soy Ruben, de Nexo Local Studio. Hacemos páginas web rápidas y profesionales para negocios locales, conectadas a WhatsApp, ubicación y formularios.

Puedes ver nuestro trabajo aquí:
https://nexo-local-studio-public.vercel.app

Tenemos precios de lanzamiento desde $2,500 MXN.

Si te interesa, puedo enviarte una propuesta breve. Si prefieres no recibir más mensajes, dime baja.",,https://nexo-local-studio-public.vercel.app,495,730,url_valid,ready_to_review,,,,,,,Fuente pública: OpenStreetMap (https://www.openstreetmap.org/node/12554862078). Estado web: No website found in public source. Teléfono público; WhatsApp pendiente de verificación manual. Revisar visualmente el negocio antes de enviar si hay duda.
