priority,score,business_name,niche,city,zone,rating,reviews_count,website_status,website_url,google_maps_url,phone,normalized_phone,instagram,email,contact_person,problem_detected,verification_notes,homepage_url,first_message,last_checked,source_url
A,15,Clinica Dental Muelitas,Dental,Ciudad de México,Bosques,,,No website found in public source,,https://www.google.com/maps/search/?api=1&query=Clinica%20Dental%20Muelitas%20Ciudad%20de%20M%C3%A9xico%20Bosques,5572342564,525572342564,,,No público,No se encontró sitio web oficial en la fuente pública consultada.,Fuente pública: OpenStreetMap (https://www.openstreetmap.org/node/12528020995). Estado web: No website found in public source. Teléfono público; WhatsApp pendiente de verificación manual. Revisar visualmente el negocio antes de enviar si hay duda.,https://nexo-local-studio-public.vercel.app,"Hola, Clinica Dental Muelitas. Vi que su negocio tiene presencia local y señales de reputación.

Soy Ruben, de Nexo Local Studio. Hacemos páginas web rápidas y profesionales para negocios locales, conectadas a WhatsApp, ubicación y formularios.

Puedes ver nuestro trabajo aquí:
https://nexo-local-studio-public.vercel.app

Tenemos precios de lanzamiento desde $2,500 MXN.

Si te interesa, puedo enviarte una propuesta breve. Si prefieres no recibir más mensajes, dime baja.",2026-06-19,https://www.openstreetmap.org/node/12528020995
A,15,Clínica De Especialidades Dentales,Dental,Huixquilucan,Huixquilucan,,,No website found in public source,,https://www.google.com/maps/search/?api=1&query=Cl%C3%ADnica%20De%20Especialidades%20Dentales%20Huixquilucan%20Huixquilucan,5582841112,525582841112,,,No público,No se encontró sitio web oficial en la fuente pública consultada.,Fuente pública: OpenStreetMap (https://www.openstreetmap.org/node/12594393092). Estado web: No website found in public source. Teléfono público; WhatsApp pendiente de verificación manual. Revisar visualmente el negocio antes de enviar si hay duda.,https://nexo-local-studio-public.vercel.app,"Hola, Clínica De Especialidades Dentales. Vi que su negocio tiene presencia local y señales de reputación.

Soy Ruben, de Nexo Local Studio. Hacemos páginas web rápidas y profesionales para negocios locales, conectadas a WhatsApp, ubicación y formularios.

Puedes ver nuestro trabajo aquí:
https://nexo-local-studio-public.vercel.app

Tenemos precios de lanzamiento desde $2,500 MXN.

Si te interesa, puedo enviarte una propuesta breve. Si prefieres no recibir más mensajes, dime baja.",2026-06-19,https://www.openstreetmap.org/node/12594393092
A,15,"Consultorio ""Estudio dental""",Dental,Huixquilucan,Huixquilucan,,,No website found in public source,,https://www.google.com/maps/search/?api=1&query=Consultorio%20%22Estudio%20dental%22%20Huixquilucan%20Huixquilucan,5529087101,525529087101,,,No público,No se encontró sitio web oficial en la fuente pública consultada.,Fuente pública: OpenStreetMap (https://www.openstreetmap.org/node/12525661080). Estado web: No website found in public source. Teléfono público; WhatsApp pendiente de verificación manual. Revisar visualmente el negocio antes de enviar si hay duda.,https://nexo-local-studio-public.vercel.app,"Hola, Consultorio ""Estudio dental"". Vi que su negocio tiene presencia local y señales de reputación.

Soy Ruben, de Nexo Local Studio. Hacemos páginas web rápidas y profesionales para negocios locales, conectadas a WhatsApp, ubicación y formularios.

Puedes ver nuestro trabajo aquí:
https://nexo-local-studio-public.vercel.app

Tenemos precios de lanzamiento desde $2,500 MXN.

Si te interesa, puedo enviarte una propuesta breve. Si prefieres no recibir más mensajes, dime baja.",2026-06-19,https://www.openstreetmap.org/node/12525661080
A,15,Consultorio Dental Alfa Y Omega,Dental,Huixquilucan,Huixquilucan,,,No website found in public source,,https://www.google.com/maps/search/?api=1&query=Consultorio%20Dental%20Alfa%20Y%20Omega%20Huixquilucan%20Huixquilucan,5547863775,525547863775,,,No público,No se encontró sitio web oficial en la fuente pública consultada.,Fuente pública: OpenStreetMap (https://www.openstreetmap.org/node/12512443693). Estado web: No website found in public source. Teléfono público; WhatsApp pendiente de verificación manual. Revisar visualmente el negocio antes de enviar si hay duda.,https://nexo-local-studio-public.vercel.app,"Hola, Consultorio Dental Alfa Y Omega. Vi que su negocio tiene presencia local y señales de reputación.

Soy Ruben, de Nexo Local Studio. Hacemos páginas web rápidas y profesionales para negocios locales, conectadas a WhatsApp, ubicación y formularios.

Puedes ver nuestro trabajo aquí:
https://nexo-local-studio-public.vercel.app

Tenemos precios de lanzamiento desde $2,500 MXN.

Si te interesa, puedo enviarte una propuesta breve. Si prefieres no recibir más mensajes, dime baja.",2026-06-19,https://www.openstreetmap.org/node/12512443693
A,15,Consultorio Dental Cyty,Dental,Huixquilucan,Huixquilucan,,,No website found in public source,,https://www.google.com/maps/search/?api=1&query=Consultorio%20Dental%20Cyty%20Huixquilucan%20Huixquilucan,5582840023,525582840023,,,No público,No se encontró sitio web oficial en la fuente pública consultada.,Fuente pública: OpenStreetMap (https://www.openstreetmap.org/node/12512605307). Estado web: No website found in public source. Teléfono público; WhatsApp pendiente de verificación manual. Revisar visualmente el negocio antes de enviar si hay duda.,https://nexo-local-studio-public.vercel.app,"Hola, Consultorio Dental Cyty. Vi que su negocio tiene presencia local y señales de reputación.

Soy Ruben, de Nexo Local Studio. Hacemos páginas web rápidas y profesionales para negocios locales, conectadas a WhatsApp, ubicación y formularios.

Puedes ver nuestro trabajo aquí:
https://nexo-local-studio-public.vercel.app

Tenemos precios de lanzamiento desde $2,500 MXN.

Si te interesa, puedo enviarte una propuesta breve. Si prefieres no recibir más mensajes, dime baja.",2026-06-19,https://www.openstreetmap.org/node/12512605307
A,15,Consultorio Dental Garden,Dental,Huixquilucan,Huixquilucan,,,No website found in public source,,https://www.google.com/maps/search/?api=1&query=Consultorio%20Dental%20Garden%20Huixquilucan%20Huixquilucan,5580990629,525580990629,,,No público,No se encontró sitio web oficial en la fuente pública consultada.,Fuente pública: OpenStreetMap (https://www.openstreetmap.org/node/12527937391). Estado web: No website found in public source. Teléfono público; WhatsApp pendiente de verificación manual. Revisar visualmente el negocio antes de enviar si hay duda.,https://nexo-local-studio-public.vercel.app,"Hola, Consultorio Dental Garden. Vi que su negocio tiene presencia local y señales de reputación.

Soy Ruben, de Nexo Local Studio. Hacemos páginas web rápidas y profesionales para negocios locales, conectadas a WhatsApp, ubicación y formularios.

Puedes ver nuestro trabajo aquí:
https://nexo-local-studio-public.vercel.app

Tenemos precios de lanzamiento desde $2,500 MXN.

Si te interesa, puedo enviarte una propuesta breve. Si prefieres no recibir más mensajes, dime baja.",2026-06-19,https://www.openstreetmap.org/node/12527937391
A,15,Consultorio Dental Integral,Dental,Huixquilucan,Huixquilucan,,,No website found in public source,,https://www.google.com/maps/search/?api=1&query=Consultorio%20Dental%20Integral%20Huixquilucan%20Huixquilucan,5522704039,525522704039,,,No público,No se encontró sitio web oficial en la fuente pública consultada.,Fuente pública: OpenStreetMap (https://www.openstreetmap.org/node/12542978616). Estado web: No website found in public source. Teléfono público; WhatsApp pendiente de verificación manual. Revisar visualmente el negocio antes de enviar si hay duda.,https://nexo-local-studio-public.vercel.app,"Hola, Consultorio Dental Integral. Vi que su negocio tiene presencia local y señales de reputación.

Soy Ruben, de Nexo Local Studio. Hacemos páginas web rápidas y profesionales para negocios locales, conectadas a WhatsApp, ubicación y formularios.

Puedes ver nuestro trabajo aquí:
https://nexo-local-studio-public.vercel.app

Tenemos precios de lanzamiento desde $2,500 MXN.

Si te interesa, puedo enviarte una propuesta breve. Si prefieres no recibir más mensajes, dime baja.",2026-06-19,https://www.openstreetmap.org/node/12542978616
A,15,Consultorio Dental Jacarandas,Dental,Huixquilucan,Huixquilucan,,,No website found in public source,,https://www.google.com/maps/search/?api=1&query=Consultorio%20Dental%20Jacarandas%20Huixquilucan%20Huixquilucan,5539440639,525539440639,,,No público,No se encontró sitio web oficial en la fuente pública consultada.,Fuente pública: OpenStreetMap (https://www.openstreetmap.org/node/12626575254). Estado web: No website found in public source. Teléfono público; WhatsApp pendiente de verificación manual. Revisar visualmente el negocio antes de enviar si hay duda.,https://nexo-local-studio-public.vercel.app,"Hola, Consultorio Dental Jacarandas. Vi que su negocio tiene presencia local y señales de reputación.

Soy Ruben, de Nexo Local Studio. Hacemos páginas web rápidas y profesionales para negocios locales, conectadas a WhatsApp, ubicación y formularios.

Puedes ver nuestro trabajo aquí:
https://nexo-local-studio-public.vercel.app

Tenemos precios de lanzamiento desde $2,500 MXN.

Si te interesa, puedo enviarte una propuesta breve. Si prefieres no recibir más mensajes, dime baja.",2026-06-19,https://www.openstreetmap.org/node/12626575254
A,15,Consultorio Dental Kenco,Dental,Huixquilucan,Huixquilucan,,,No website found in public source,,https://www.google.com/maps/search/?api=1&query=Consultorio%20Dental%20Kenco%20Huixquilucan%20Huixquilucan,5548072331,525548072331,,,No público,No se encontró sitio web oficial en la fuente pública consultada.,Fuente pública: OpenStreetMap (https://www.openstreetmap.org/node/12530589158). Estado web: No website found in public source. Teléfono público; WhatsApp pendiente de verificación manual. Revisar visualmente el negocio antes de enviar si hay duda.,https://nexo-local-studio-public.vercel.app,"Hola, Consultorio Dental Kenco. Vi que su negocio tiene presencia local y señales de reputación.

Soy Ruben, de Nexo Local Studio. Hacemos páginas web rápidas y profesionales para negocios locales, conectadas a WhatsApp, ubicación y formularios.

Puedes ver nuestro trabajo aquí:
https://nexo-local-studio-public.vercel.app

Tenemos precios de lanzamiento desde $2,500 MXN.

Si te interesa, puedo enviarte una propuesta breve. Si prefieres no recibir más mensajes, dime baja.",2026-06-19,https://www.openstreetmap.org/node/12530589158
A,15,Consultorio Dental Tu Sonrisa,Dental,Huixquilucan,Huixquilucan,,,No website found in public source,,https://www.google.com/maps/search/?api=1&query=Consultorio%20Dental%20Tu%20Sonrisa%20Huixquilucan%20Huixquilucan,5591030575,525591030575,,,No público,No se encontró sitio web oficial en la fuente pública consultada.,Fuente pública: OpenStreetMap (https://www.openstreetmap.org/node/12554862078). Estado web: No website found in public source. Teléfono público; WhatsApp pendiente de verificación manual. Revisar visualmente el negocio antes de enviar si hay duda.,https://nexo-local-studio-public.vercel.app,"Hola, Consultorio Dental Tu Sonrisa. Vi que su negocio tiene presencia local y señales de reputación.

Soy Ruben, de Nexo Local Studio. Hacemos páginas web rápidas y profesionales para negocios locales, conectadas a WhatsApp, ubicación y formularios.

Puedes ver nuestro trabajo aquí:
https://nexo-local-studio-public.vercel.app

Tenemos precios de lanzamiento desde $2,500 MXN.

Si te interesa, puedo enviarte una propuesta breve. Si prefieres no recibir más mensajes, dime baja.",2026-06-19,https://www.openstreetmap.org/node/12554862078
