business_name,niche,phone,instagram,google_maps_url,recommended_channel,message,demo_url,status
Medical Glamour Polanco,Clínica estética,55 2763 4703,,https://www.google.com/maps/search/?api=1&query=Medical%20Glamour%20Polanco%20Av%20Moliere%20107-2do%20piso%20cl%C3%ADnica%20est%C3%A9tica%20Polanco%20CDMX,WhatsApp/manual phone,"Hola, Medical Glamour Polanco. Vi que tienen presencia en Google Maps y señales de reputación local.

Trabajo bajo la marca Nexo Local Studio. Hacemos páginas web rápidas y profesionales para negocios locales, conectadas a WhatsApp, ubicación y formularios.

Te comparto un ejemplo para negocios de tu sector:
https://nexo-local-studio-public.vercel.app/demos/estetica

Tenemos precios de lanzamiento desde $2,500 MXN. Si te interesa, puedo enviarte una propuesta breve.",https://nexo-local-studio-public.vercel.app/demos/estetica,manual_review
Dra. Shirley De Brito,Dental,55 1474 4809,,https://www.google.com/maps/search/?api=1&query=Dra.%20Shirley%20De%20Brito%20Av.%20Ej%C3%A9rcito%20Nacional%20Mexicano%201112-801%20dentista%20Polanco%20CDMX,WhatsApp/manual phone,"Hola, Dra. Shirley De Brito. Vi que tienen presencia en Google Maps y señales de reputación local.

Trabajo bajo la marca Nexo Local Studio. Hacemos páginas web rápidas y profesionales para negocios locales, conectadas a WhatsApp, ubicación y formularios.

Te comparto un ejemplo para negocios de tu sector:
https://nexo-local-studio-public.vercel.app/demos/dental

Tenemos precios de lanzamiento desde $2,500 MXN. Si te interesa, puedo enviarte una propuesta breve.",https://nexo-local-studio-public.vercel.app/demos/dental,manual_review
"Dentista Juriquilla, Querétaro",Dental,55 4943 8421,,https://www.google.com/maps/search/?api=1&query=Dentista%20Juriquilla%2C%20Quer%C3%A9taro%20Blvd.%20Jurica%20la%20Campana%20903%20dentista%20Juriquilla%20Quer%C3%A9taro,WhatsApp/manual phone,"Hola, Dentista Juriquilla, Querétaro. Vi que tienen presencia en Google Maps y señales de reputación local.

Trabajo bajo la marca Nexo Local Studio. Hacemos páginas web rápidas y profesionales para negocios locales, conectadas a WhatsApp, ubicación y formularios.

Te comparto un ejemplo para negocios de tu sector:
https://nexo-local-studio-public.vercel.app/demos/dental

Tenemos precios de lanzamiento desde $2,500 MXN. Si te interesa, puedo enviarte una propuesta breve.",https://nexo-local-studio-public.vercel.app/demos/dental,manual_review
Dentar Odontología Integral y Ortodoncia,Dental,446 131 9916,,https://www.google.com/maps/search/?api=1&query=Dentar%20Odontolog%C3%ADa%20Integral%20y%20Ortodoncia%20Av.%20de%20las%20Ciencias%202070%20dentista%20Juriquilla%20Quer%C3%A9taro,WhatsApp/manual phone,"Hola, Dentar Odontología Integral y Ortodoncia. Vi que tienen presencia en Google Maps y señales de reputación local.

Trabajo bajo la marca Nexo Local Studio. Hacemos páginas web rápidas y profesionales para negocios locales, conectadas a WhatsApp, ubicación y formularios.

Te comparto un ejemplo para negocios de tu sector:
https://nexo-local-studio-public.vercel.app/demos/dental

Tenemos precios de lanzamiento desde $2,500 MXN. Si te interesa, puedo enviarte una propuesta breve.",https://nexo-local-studio-public.vercel.app/demos/dental,manual_review
Hospital Veterinario Narvarte,Veterinaria,55 5538 2388,,https://www.google.com/maps/search/?api=1&query=Hospital%20Veterinario%20Narvarte%20C.%20Dr.%20Jos%C3%A9%20Mar%C3%ADa%20V%C3%A9rtiz%20560%20veterinaria%20Narvarte%20CDMX,WhatsApp/manual phone,"Hola, Hospital Veterinario Narvarte. Vi que tienen presencia en Google Maps y señales de reputación local.

Trabajo bajo la marca Nexo Local Studio. Hacemos páginas web rápidas y profesionales para negocios locales, conectadas a WhatsApp, ubicación y formularios.

Te comparto un ejemplo para negocios de tu sector:
https://nexo-local-studio-public.vercel.app/demos/veterinaria

Tenemos precios de lanzamiento desde $2,500 MXN. Si te interesa, puedo enviarte una propuesta breve.",https://nexo-local-studio-public.vercel.app/demos/veterinaria,manual_review
Dream Pets,Veterinaria,55 6114 3300,,https://www.google.com/maps/search/?api=1&query=Dream%20Pets%20Diag.%20San%20Antonio%20911-interior%201%20veterinaria%20Narvarte%20CDMX,WhatsApp/manual phone,"Hola, Dream Pets. Vi que tienen presencia en Google Maps y señales de reputación local.

Trabajo bajo la marca Nexo Local Studio. Hacemos páginas web rápidas y profesionales para negocios locales, conectadas a WhatsApp, ubicación y formularios.

Te comparto un ejemplo para negocios de tu sector:
https://nexo-local-studio-public.vercel.app/demos/veterinaria

Tenemos precios de lanzamiento desde $2,500 MXN. Si te interesa, puedo enviarte una propuesta breve.",https://nexo-local-studio-public.vercel.app/demos/veterinaria,manual_review
Clínica Veterinaria Coyoacán,Veterinaria,55 5688 3177,,https://www.google.com/maps/search/?api=1&query=Cl%C3%ADnica%20Veterinaria%20Coyoac%C3%A1n%20Av.%20Divisi%C3%B3n%20del%20Nte.%202638-segundo%20piso%20veterinaria%20Coyoac%C3%A1n%20CDMX,WhatsApp/manual phone,"Hola, Clínica Veterinaria Coyoacán. Vi que tienen presencia en Google Maps y señales de reputación local.

Trabajo bajo la marca Nexo Local Studio. Hacemos páginas web rápidas y profesionales para negocios locales, conectadas a WhatsApp, ubicación y formularios.

Te comparto un ejemplo para negocios de tu sector:
https://nexo-local-studio-public.vercel.app/demos/veterinaria

Tenemos precios de lanzamiento desde $2,500 MXN. Si te interesa, puedo enviarte una propuesta breve.",https://nexo-local-studio-public.vercel.app/demos/veterinaria,manual_review
Hospital Veterinario Providencia,Veterinaria,33 3640 1037,,https://www.google.com/maps/search/?api=1&query=Hospital%20Veterinario%20Providencia%20%EF%95%8A%20%C2%B7%20Av.%20Manuel%20Acu%C3%B1a%202549%20veterinaria%20Providencia%20Guadalajara,WhatsApp/manual phone,"Hola, Hospital Veterinario Providencia. Vi que tienen presencia en Google Maps y señales de reputación local.

Trabajo bajo la marca Nexo Local Studio. Hacemos páginas web rápidas y profesionales para negocios locales, conectadas a WhatsApp, ubicación y formularios.

Te comparto un ejemplo para negocios de tu sector:
https://nexo-local-studio-public.vercel.app/demos/veterinaria

Tenemos precios de lanzamiento desde $2,500 MXN. Si te interesa, puedo enviarte una propuesta breve.",https://nexo-local-studio-public.vercel.app/demos/veterinaria,manual_review
Vetleaf Veterinaria y Estética,Veterinaria,33 4355 9053,,https://www.google.com/maps/search/?api=1&query=Vetleaf%20Veterinaria%20y%20Est%C3%A9tica%20C.%20Goya%20621%20veterinaria%20Providencia%20Guadalajara,WhatsApp/manual phone,"Hola, Vetleaf Veterinaria y Estética. Vi que tienen presencia en Google Maps y señales de reputación local.

Trabajo bajo la marca Nexo Local Studio. Hacemos páginas web rápidas y profesionales para negocios locales, conectadas a WhatsApp, ubicación y formularios.

Te comparto un ejemplo para negocios de tu sector:
https://nexo-local-studio-public.vercel.app/demos/veterinaria

Tenemos precios de lanzamiento desde $2,500 MXN. Si te interesa, puedo enviarte una propuesta breve.",https://nexo-local-studio-public.vercel.app/demos/veterinaria,manual_review
Dr. Neguib Villavicencio Raful,Dental,55 6612 6068,,https://www.google.com/maps/search/?api=1&query=Dr.%20Neguib%20Villavicencio%20Raful%20World%20Trade%20Center%2C%20Torre%20M%C3%A9dica%20Momentum%2C%20P.%C2%BA%20de%20la%20Rep%C3%BAblica%2013020%20dentista%20Juriquilla%20Quer%C3%A9taro,WhatsApp/manual phone,"Hola, Dr. Neguib Villavicencio Raful. Vi que tienen presencia en Google Maps y señales de reputación local.

Trabajo bajo la marca Nexo Local Studio. Hacemos páginas web rápidas y profesionales para negocios locales, conectadas a WhatsApp, ubicación y formularios.

Te comparto un ejemplo para negocios de tu sector:
https://nexo-local-studio-public.vercel.app/demos/dental

Tenemos precios de lanzamiento desde $2,500 MXN. Si te interesa, puedo enviarte una propuesta breve.",https://nexo-local-studio-public.vercel.app/demos/dental,manual_review
