priority,score,business_name,niche,city,zone,rating,reviews_count,website_status,problem_detected,phone,normalized_phone,phone_status,instagram,google_maps_url,demo_url,homepage_url,contact_person,status,notes,whatsapp_verification_status,whatsapp_verified_at,whatsapp_verification_notes
A,10,Clínica La Central Dental,Dental,Mérida,México Norte,,,WhatsApp público encontrado,Número publicado explícitamente como WhatsApp,529993886240,529993886240,valid,,,https://nexo-local-studio-public.vercel.app/demos,https://nexo-local-studio-public.vercel.app/demos,No público,verified_public_whatsapp,Fuente publica indica WhatsApp e incluye https://wa.me/529993886240. Fuente: https://www.findglocal.com/MX/M%C3%A9xico-Norte/252447561450428/Clinica-La-Central-Dental,exists_on_whatsapp,2026-06-17,Marcado como WhatsApp existente porque la fuente pública del negocio lo publica explícitamente como WhatsApp; no se usó API ni envío automático.
A,10,Dental Corona Las Torres,Dental,Ciudad Juárez,Las Torres,,,WhatsApp público encontrado,Número publicado explícitamente como WhatsApp,5216567547325,5216567547325,valid,,,https://nexo-local-studio-public.vercel.app/demos,https://nexo-local-studio-public.vercel.app/demos,No público,verified_public_whatsapp,Fuente publica indica agenda por WhatsApp: https://wa.me/5216567547325. Fuente: https://www.findglocal.com/MX/Ciudad-Ju%C3%A1rez/111021417104447/Dental-Corona-Las-Torres,exists_on_whatsapp,2026-06-17,Marcado como WhatsApp existente porque la fuente pública del negocio lo publica explícitamente como WhatsApp; no se usó API ni envío automático.
A,10,Rayos X Dentales,Dental,Saltillo,Irapuato 2349,,,WhatsApp público encontrado,Número publicado explícitamente como WhatsApp,528442711587,528442711587,valid,,,https://nexo-local-studio-public.vercel.app/demos,https://nexo-local-studio-public.vercel.app/demos,No público,verified_public_whatsapp,Fuente publica indica apartar cita por WhatsApp: http://wa.me/528442711587. Fuente: https://www.findglocal.com/MX/Saltillo/106688730745386/Rayos-X-Dentales,exists_on_whatsapp,2026-06-17,Marcado como WhatsApp existente porque la fuente pública del negocio lo publica explícitamente como WhatsApp; no se usó API ni envío automático.
A,10,Dental Sonora TJ,Dental,Tijuana,Mariano Matamoros Sur,,,WhatsApp público encontrado,Número publicado explícitamente como WhatsApp,5216643106030,5216643106030,valid,,,https://nexo-local-studio-public.vercel.app/demos,https://nexo-local-studio-public.vercel.app/demos,No público,verified_public_whatsapp,Fuente publica indica 664 310 6030 como WhatsApp. Fuente: https://www.findglocal.com/MX/Tijuana/659511190781281/Dental-Sonora-TJ,exists_on_whatsapp,2026-06-17,Marcado como WhatsApp existente porque la fuente pública del negocio lo publica explícitamente como WhatsApp; no se usó API ni envío automático.
A,10,DentaLis,Dental,Querétaro,San Rafael,,,WhatsApp público encontrado,Número publicado explícitamente como WhatsApp,5214424064588,5214424064588,valid,,,https://nexo-local-studio-public.vercel.app/demos,https://nexo-local-studio-public.vercel.app/demos,No público,verified_public_whatsapp,Fuente publica indica Agenda tu cita WhatsApp 4424064588. Fuente: https://www.findglocal.com/MX/Quer%C3%A9taro/106090588214098/DentaLis,exists_on_whatsapp,2026-06-17,Marcado como WhatsApp existente porque la fuente pública del negocio lo publica explícitamente como WhatsApp; no se usó API ni envío automático.
A,10,Del Sol Grupo Dental,Dental,Ciudad Juárez,Progresista,,,WhatsApp público encontrado,Número publicado explícitamente como WhatsApp,5216562436992,5216562436992,valid,,,https://nexo-local-studio-public.vercel.app/demos,https://nexo-local-studio-public.vercel.app/demos,No público,verified_public_whatsapp,Fuente publica indica WhatsApp 656-2436992. Fuente: https://www.findglocal.com/MX/Ciudad-Ju%C3%A1rez/107407564197327/Del-Sol-Grupo-Dental,exists_on_whatsapp,2026-06-17,Marcado como WhatsApp existente porque la fuente pública del negocio lo publica explícitamente como WhatsApp; no se usó API ni envío automático.
A,10,My Clinic Dental,Dental,Hermosillo,Blvd. Navarrete,,,WhatsApp público encontrado,Número publicado explícitamente como WhatsApp,5216621389097,5216621389097,valid,,,https://nexo-local-studio-public.vercel.app/demos,https://nexo-local-studio-public.vercel.app/demos,No público,verified_public_whatsapp,Fuente publica indica WhatsApp 6621 38 9097. Fuente: https://www.findglocal.com/MX/Hermosillo/1379822785586660/My-Clinic-Dental,exists_on_whatsapp,2026-06-17,Marcado como WhatsApp existente porque la fuente pública del negocio lo publica explícitamente como WhatsApp; no se usó API ni envío automático.
A,10,AR Clínica Dental,Dental,Pachuca,Pachuca de Soto,,,WhatsApp público encontrado,Número publicado explícitamente como WhatsApp,5215566945460,5215566945460,valid,,,https://nexo-local-studio-public.vercel.app/demos,https://nexo-local-studio-public.vercel.app/demos,No público,verified_public_whatsapp,Fuente publica indica citas e informes vía WhatsApp 5566945460. Fuente: https://www.findglocal.com/MX/Pachuca-de-Soto/534401660050265/AR-Cl%C3%ADnica-Dental,exists_on_whatsapp,2026-06-17,Marcado como WhatsApp existente porque la fuente pública del negocio lo publica explícitamente como WhatsApp; no se usó API ni envío automático.
A,10,Clínica Dental Celaya,Dental,Celaya,Los Naranjos,,,WhatsApp público encontrado,Número publicado explícitamente como WhatsApp,5214611824051,5214611824051,valid,,,https://nexo-local-studio-public.vercel.app/demos,https://nexo-local-studio-public.vercel.app/demos,No público,verified_public_whatsapp,Fuente publica indica Agenda al WhatsApp 4611824051. Fuente: https://www.findglocal.com/MX/Celaya/148871601906551/Clinica-Dental,exists_on_whatsapp,2026-06-17,Marcado como WhatsApp existente porque la fuente pública del negocio lo publica explícitamente como WhatsApp; no se usó API ni envío automático.
A,10,Dental Harmonia,Dental,CDMX,Ciudad de México,,,WhatsApp público encontrado,Número publicado explícitamente como WhatsApp,5215525638888,5215525638888,valid,,,https://nexo-local-studio-public.vercel.app/demos,https://nexo-local-studio-public.vercel.app/demos,No público,verified_public_whatsapp,Fuente publica indica Agenda vía WhatsApp: 55 2563 8888. Fuente: https://www.findglocal.com/MX/Mexico-City/135803623218997/Dental-Harmonia,exists_on_whatsapp,2026-06-17,Marcado como WhatsApp existente porque la fuente pública del negocio lo publica explícitamente como WhatsApp; no se usó API ni envío automático.
