priority,score,business_name,niche,city,zone,rating,reviews_count,website_status,website_url,google_maps_url,phone,email,instagram,contact_person,problem_detected,demo_url,homepage_url,first_message,verification_notes,last_checked,whatsapp_source_url,whatsapp_evidence
A,10,Clínica La Central Dental,Dental,Mérida,México Norte,,,WhatsApp público encontrado,,,529993886240,,,No público,Contacto WhatsApp público confirmado en fuente pública,https://nexo-local-studio-public.vercel.app/demos,https://nexo-local-studio-public.vercel.app/demos,,Fuente publica indica WhatsApp e incluye https://wa.me/529993886240.,2026-06-17,https://www.findglocal.com/MX/M%C3%A9xico-Norte/252447561450428/Clinica-La-Central-Dental,Fuente publica indica WhatsApp e incluye https://wa.me/529993886240.
A,10,Dental Corona Las Torres,Dental,Ciudad Juárez,Las Torres,,,WhatsApp público encontrado,,,5216567547325,,,No público,Contacto WhatsApp público confirmado en fuente pública,https://nexo-local-studio-public.vercel.app/demos,https://nexo-local-studio-public.vercel.app/demos,,Fuente publica indica agenda por WhatsApp: https://wa.me/5216567547325.,2026-06-17,https://www.findglocal.com/MX/Ciudad-Ju%C3%A1rez/111021417104447/Dental-Corona-Las-Torres,Fuente publica indica agenda por WhatsApp: https://wa.me/5216567547325.
A,10,Rayos X Dentales,Dental,Saltillo,Irapuato 2349,,,WhatsApp público encontrado,,,528442711587,,,No público,Contacto WhatsApp público confirmado en fuente pública,https://nexo-local-studio-public.vercel.app/demos,https://nexo-local-studio-public.vercel.app/demos,,Fuente publica indica apartar cita por WhatsApp: http://wa.me/528442711587.,2026-06-17,https://www.findglocal.com/MX/Saltillo/106688730745386/Rayos-X-Dentales,Fuente publica indica apartar cita por WhatsApp: http://wa.me/528442711587.
A,10,Dental Sonora TJ,Dental,Tijuana,Mariano Matamoros Sur,,,WhatsApp público encontrado,,,5216643106030,,,No público,Contacto WhatsApp público confirmado en fuente pública,https://nexo-local-studio-public.vercel.app/demos,https://nexo-local-studio-public.vercel.app/demos,,Fuente publica indica 664 310 6030 como WhatsApp.,2026-06-17,https://www.findglocal.com/MX/Tijuana/659511190781281/Dental-Sonora-TJ,Fuente publica indica 664 310 6030 como WhatsApp.
A,10,DentaLis,Dental,Querétaro,San Rafael,,,WhatsApp público encontrado,,,5214424064588,,,No público,Contacto WhatsApp público confirmado en fuente pública,https://nexo-local-studio-public.vercel.app/demos,https://nexo-local-studio-public.vercel.app/demos,,Fuente publica indica Agenda tu cita WhatsApp 4424064588.,2026-06-17,https://www.findglocal.com/MX/Quer%C3%A9taro/106090588214098/DentaLis,Fuente publica indica Agenda tu cita WhatsApp 4424064588.
A,10,Del Sol Grupo Dental,Dental,Ciudad Juárez,Progresista,,,WhatsApp público encontrado,,,5216562436992,,,No público,Contacto WhatsApp público confirmado en fuente pública,https://nexo-local-studio-public.vercel.app/demos,https://nexo-local-studio-public.vercel.app/demos,,Fuente publica indica WhatsApp 656-2436992.,2026-06-17,https://www.findglocal.com/MX/Ciudad-Ju%C3%A1rez/107407564197327/Del-Sol-Grupo-Dental,Fuente publica indica WhatsApp 656-2436992.
A,10,My Clinic Dental,Dental,Hermosillo,Blvd. Navarrete,,,WhatsApp público encontrado,,,5216621389097,,,No público,Contacto WhatsApp público confirmado en fuente pública,https://nexo-local-studio-public.vercel.app/demos,https://nexo-local-studio-public.vercel.app/demos,,Fuente publica indica WhatsApp 6621 38 9097.,2026-06-17,https://www.findglocal.com/MX/Hermosillo/1379822785586660/My-Clinic-Dental,Fuente publica indica WhatsApp 6621 38 9097.
A,10,AR Clínica Dental,Dental,Pachuca,Pachuca de Soto,,,WhatsApp público encontrado,,,5215566945460,,,No público,Contacto WhatsApp público confirmado en fuente pública,https://nexo-local-studio-public.vercel.app/demos,https://nexo-local-studio-public.vercel.app/demos,,Fuente publica indica citas e informes vía WhatsApp 5566945460.,2026-06-17,https://www.findglocal.com/MX/Pachuca-de-Soto/534401660050265/AR-Cl%C3%ADnica-Dental,Fuente publica indica citas e informes vía WhatsApp 5566945460.
A,10,Clínica Dental Celaya,Dental,Celaya,Los Naranjos,,,WhatsApp público encontrado,,,5214611824051,,,No público,Contacto WhatsApp público confirmado en fuente pública,https://nexo-local-studio-public.vercel.app/demos,https://nexo-local-studio-public.vercel.app/demos,,Fuente publica indica Agenda al WhatsApp 4611824051.,2026-06-17,https://www.findglocal.com/MX/Celaya/148871601906551/Clinica-Dental,Fuente publica indica Agenda al WhatsApp 4611824051.
A,10,Dental Harmonia,Dental,CDMX,Ciudad de México,,,WhatsApp público encontrado,,,5215525638888,,,No público,Contacto WhatsApp público confirmado en fuente pública,https://nexo-local-studio-public.vercel.app/demos,https://nexo-local-studio-public.vercel.app/demos,,Fuente publica indica Agenda vía WhatsApp: 55 2563 8888.,2026-06-17,https://www.findglocal.com/MX/Mexico-City/135803623218997/Dental-Harmonia,Fuente publica indica Agenda vía WhatsApp: 55 2563 8888.
A,10,BioConcept,Dental,Monterrey,Pueblo Serena,,,WhatsApp público encontrado,,,5218120120369,,,No público,Contacto WhatsApp público confirmado en fuente pública,https://nexo-local-studio-public.vercel.app/demos,https://nexo-local-studio-public.vercel.app/demos,,Fuente publica indica valoración vía WhatsApp +52 81 2012 0369.,2026-06-17,https://www.findglocal.com/MX/Monterrey/117840135609453/BioConcept,Fuente publica indica valoración vía WhatsApp +52 81 2012 0369.
